cod;nome;período;valor
17;TO;2023;372
35;SP;2023;1442
50;MS;2023;311
25;PB;2023;903
14;RR;2023;128
51;MT;2023;888
13;AM;2023;1381
33;RJ;2023;3101
11;RO;2023;423
31;MG;2023;2028
26;PE;2023;2813
32;ES;2023;921
52;GO;2023;1114
22;PI;2023;677
28;SE;2023;645
29;BA;2023;5354
53;DF;2023;240
15;PA;2023;2274
41;PR;2023;774
24;RN;2023;815
16;AP;2023;377
42;SC;2023;179
23;CE;2023;2693
