cod;nome;período;valor
22;PI;2015;487
12;AC;2015;169
11;RO;2015;397
52;GO;2015;2087
16;AP;2015;251
42;SC;2015;185
23;CE;2015;2118
51;MT;2015;843
17;TO;2015;342
15;PA;2015;3138
53;DF;2015;551
24;RN;2015;1207
28;SE;2015;1157
50;MS;2015;367
43;RS;2015;601
14;RR;2015;138
29;BA;2015;5112
25;PB;2015;1222
31;MG;2015;3033
41;PR;2015;611
21;MA;2015;2003
13;AM;2015;1242
32;ES;2015;1061
26;PE;2015;3173
33;RJ;2015;3283
43;RS;2016;707
26;PE;2016;3618
12;AC;2016;288
41;PR;2016;619
21;MA;2016;1963
31;MG;2016;3099
27;AL;2016;1665
14;RR;2016;145
32;ES;2016;943
24;RN;2016;1479
53;DF;2016;569
22;PI;2016;563
11;RO;2016;483
29;BA;2016;6132
51;MT;2016;845
25;PB;2016;1099
50;MS;2016;369
52;GO;2016;2168
35;SP;2016;2017
28;SE;2016;1330
17;TO;2016;426
23;CE;2016;2363
33;RJ;2016;4076
13;AM;2016;1231
42;SC;2016;213
16;AP;2016;347
15;PA;2016;3597
28;SE;2017;1168
50;MS;2017;385
11;RO;2017;357
12;AC;2017;404
15;PA;2017;3858
53;DF;2017;452
27;AL;2017;1636
35;SP;2017;2002
24;RN;2017;1798
52;GO;2017;2094
43;RS;2017;772
26;PE;2017;4462
14;RR;2017;169
22;PI;2017;509
32;ES;2017;1098
29;BA;2017;6377
21;MA;2017;1855
25;PB;2017;1151
31;MG;2017;2885
41;PR;2017;647
33;RJ;2017;4378
16;AP;2017;328
13;AM;2017;1418
42;SC;2017;247
23;CE;2017;4580
51;MT;2017;780
17;TO;2017;407
41;PR;2018;607
51;MT;2018;695
22;PI;2018;488
26;PE;2018;3387
17;TO;2018;430
15;PA;2018;3827
13;AM;2018;1300
43;RS;2018;619
24;RN;2018;1509
27;AL;2018;1120
52;GO;2018;1929
11;RO;2018;323
42;SC;2018;157
16;AP;2018;377
12;AC;2018;322
28;SE;2018;1045
35;SP;2018;1571
32;ES;2018;887
29;BA;2018;5717
23;CE;2018;4051
25;PB;2018;1085
53;DF;2018;372
33;RJ;2018;4448
14;RR;2018;282
50;MS;2018;320
31;MG;2018;2265
21;MA;2018;1656
27;AL;2019;993
17;TO;2019;337
22;PI;2019;454
16;AP;2019;330
23;CE;2019;2036
15;PA;2019;2887
28;SE;2019;884
14;RR;2019;148
29;BA;2019;5264
31;MG;2019;1938
13;AM;2019;1284
32;ES;2019;802
12;AC;2019;252
33;RJ;2019;2435
26;PE;2019;2749
53;DF;2019;339
35;SP;2019;1535
41;PR;2019;542
42;SC;2019;163
25;PB;2019;800
43;RS;2019;463
24;RN;2019;1110
50;MS;2019;280
51;MT;2019;639
11;RO;2019;295
52;GO;2019;1627
21;MA;2019;1402
51;MT;2020;689
13;AM;2020;1093
27;AL;2020;1165
17;TO;2020;370
15;PA;2020;2381
50;MS;2020;278
52;GO;2020;1594
21;MA;2020;1736
23;CE;2020;3457
31;MG;2020;1789
22;PI;2020;521
41;PR;2020;692
42;SC;2020;168
25;PB;2020;929
33;RJ;2020;3387
12;AC;2020;232
29;BA;2020;6124
14;RR;2020;150
53;DF;2020;306
32;ES;2020;865
35;SP;2020;1505
11;RO;2020;311
43;RS;2020;474
28;SE;2020;891
16;AP;2020;345
26;PE;2020;3040
24;RN;2020;1169
24;RN;2021;996
31;MG;2021;1688
27;AL;2021;979
29;BA;2021;6302
43;RS;2021;411
52;GO;2021;1304
53;DF;2021;277
15;PA;2021;2425
13;AM;2021;1505
17;TO;2021;333
11;RO;2021;359
50;MS;2021;346
42;SC;2021;161
16;AP;2021;428
22;PI;2021;611
23;CE;2021;2906
26;PE;2021;2641
14;RR;2021;181
28;SE;2021;707
41;PR;2021;848
12;AC;2021;158
51;MT;2021;610
33;RJ;2021;3312
32;ES;2021;874
25;PB;2021;927
35;SP;2021;1373
21;MA;2021;1644
21;MA;2022;1625
32;ES;2022;844
31;MG;2022;1801
52;GO;2022;1235
35;SP;2022;1415
13;AM;2022;1461
25;PB;2022;841
29;BA;2022;5891
42;SC;2022;137
14;RR;2022;153
28;SE;2022;696
43;RS;2022;434
24;RN;2022;972
27;AL;2022;1029
15;PA;2022;2444
50;MS;2022;302
23;CE;2022;2536
51;MT;2022;737
11;RO;2022;414
16;AP;2022;328
41;PR;2022;978
53;DF;2022;243
22;PI;2022;631
